violett,blau,gruen,gelb,orange,rot,label
608,385,824,728,883,358,1.0
607,384,824,728,883,358,1.0
609,385,826,729,883,359,1.0
607,385,826,728,883,359,1.0
606,385,826,729,883,359,1.0
606,385,826,729,883,359,1.0
606,385,826,729,883,359,1.0
606,385,826,728,883,358,1.0
607,385,826,728,883,358,1.0
608,381,826,729,883,358,1.0
671,451,1091,965,994,386,1.0
670,451,1088,963,990,384,1.0
554,346,771,740,714,288,1.0
372,246,489,486,450,191,1.0
272,129,463,395,420,105,1.0
512,320,869,824,797,309,1.0
669,452,1082,960,989,385,1.0
674,456,1082,979,984,387,1.0
673,455,1047,955,933,373,1.0
419,272,626,604,593,246,1.0
35,119,653,588,569,276,2.0
35,119,653,588,569,276,2.0
35,119,650,585,567,276,2.0
35,120,645,588,565,276,2.0
35,120,645,588,565,276,2.0
35,120,644,588,565,276,2.0
35,120,644,588,565,276,2.0
35,120,642,587,563,275,2.0
35,116,634,604,559,265,2.0
37,103,576,586,538,242,2.0
54,104,517,566,545,241,2.0
72,126,468,520,512,250,2.0
101,142,492,538,539,261,2.0
92,124,431,477,469,232,2.0
93,85,494,515,501,191,2.0
82,152,820,804,844,328,2.0
83,149,818,802,839,323,2.0
82,106,506,537,520,212,2.0
80,104,527,555,540,218,2.0
75,109,563,592,572,229,2.0
161,72,589,627,819,332,3.0
160,72,588,627,819,332,3.0
161,72,588,627,818,332,3.0
161,72,588,627,819,332,3.0
161,72,588,626,818,332,3.0
161,72,588,626,818,331,3.0
161,72,588,626,818,331,3.0
161,72,590,627,819,331,3.0
162,72,591,627,820,331,3.0
162,72,591,627,821,331,3.0
77,90,761,831,921,353,3.0
77,90,764,835,923,353,3.0
77,90,756,831,913,353,3.0
72,89,735,815,900,352,3.0
78,63,429,510,531,215,3.0
80,62,414,492,510,204,3.0
72,65,435,517,508,195,3.0
92,101,280,364,368,194,3.0
59,77,287,372,379,200,3.0
70,97,305,402,399,219,3.0
176,25,357,408,729,296,4.0
174,25,386,406,772,295,4.0
174,25,385,405,772,295,4.0
174,25,385,405,772,295,4.0
174,25,385,405,772,295,4.0
138,23,263,395,498,236,4.0
43,26,287,433,514,252,4.0
50,26,290,438,523,249,4.0
62,25,265,406,531,257,4.0
54,25,330,454,551,247,4.0
52,24,284,401,496,227,4.0
56,23,270,391,479,219,4.0
61,24,243,365,444,210,4.0
41,29,201,349,460,248,4.0
80,31,451,585,800,324,4.0
78,31,442,579,793,326,4.0
78,31,443,580,793,327,4.0
76,29,224,324,369,151,4.0
59,22,259,371,462,194,4.0
57,23,287,403,507,212,4.0
79,14,104,78,374,229,5.0
79,15,103,78,374,228,5.0
81,15,109,79,381,229,5.0
90,14,108,79,386,229,5.0
90,14,108,79,385,228,5.0
79,15,107,83,300,213,5.0
68,14,163,140,318,187,5.0
66,14,164,140,319,187,5.0
64,13,165,140,320,186,5.0
55,13,111,119,227,150,5.0
52,16,83,105,182,132,5.0
41,15,88,106,194,135,5.0
41,19,84,102,179,126,5.0
49,16,230,161,455,253,5.0
47,16,206,167,391,220,5.0
60,12,145,152,290,167,5.0
57,13,163,163,324,185,5.0
66,13,138,152,275,160,5.0
47,16,222,155,451,254,5.0
173,115,248,271,354,238,5.0
109,20,173,131,373,106,6.0
110,20,173,131,374,106,6.0
110,20,173,131,374,106,6.0
110,20,173,131,374,106,6.0
111,20,173,131,375,106,6.0
110,20,193,131,354,103,6.0
106,20,169,129,372,106,6.0
135,100,182,224,205,128,6.0
212,112,175,173,234,97,6.0
91,51,232,231,293,101,6.0
98,78,175,199,230,126,6.0
159,99,197,228,266,141,6.0
200,103,205,235,262,128,6.0
52,22,308,227,405,124,6.0
51,20,235,202,321,102,6.0
48,18,229,194,307,98,6.0
45,18,237,194,315,100,6.0
43,18,248,195,322,101,6.0
39,18,251,192,324,104,6.0
51,22,300,217,398,124,6.0
127,134,328,159,264,27,7.0
126,133,327,159,263,27,7.0
125,133,327,159,263,27,7.0
125,133,327,159,263,27,7.0
124,130,345,161,243,26,7.0
55,116,297,189,165,23,7.0
53,117,313,216,182,23,7.0
52,113,324,200,187,22,7.0
56,113,322,203,187,22,7.0
54,112,321,194,185,22,7.0
50,102,247,170,134,21,7.0
47,103,253,174,137,22,7.0
52,105,261,180,145,22,7.0
61,166,442,240,222,27,7.0
68,160,384,237,198,24,7.0
75,134,354,225,183,23,7.0
65,139,370,225,188,23,7.0
64,118,317,206,163,20,7.0
62,123,323,211,167,21,7.0
62,122,317,207,161,20,7.0
100,111,476,360,419,105,8.0
102,112,476,360,420,105,8.0
97,111,469,358,419,105,8.0
96,111,469,358,419,105,8.0
96,111,469,358,419,105,8.0
98,112,457,353,419,104,8.0
40,101,422,336,286,88,8.0
48,107,437,361,302,92,8.0
50,109,441,362,307,92,8.0
48,108,444,365,310,93,8.0
121,162,461,370,376,104,8.0
104,112,477,360,436,106,8.0
89,110,319,291,221,78,8.0
75,110,350,306,246,84,8.0
53,87,282,264,200,70,8.0
58,136,680,509,487,121,8.0
58,136,679,509,486,121,8.0
58,136,679,509,487,121,8.0
58,136,680,509,486,121,8.0
58,136,679,508,487,121,8.0
405,199,290,171,305,79,9.0
405,193,289,170,304,79,9.0
405,199,289,171,304,79,9.0
405,199,289,171,304,79,9.0
405,199,289,170,304,79,9.0
405,199,289,171,304,79,9.0
405,199,288,170,304,79,9.0
405,199,289,170,304,79,9.0
405,199,288,170,304,79,9.0
291,163,286,195,220,61,9.0
281,159,291,198,222,61,9.0
262,141,256,194,197,54,9.0
267,144,258,196,198,55,9.0
266,141,250,194,193,53,9.0
258,139,248,191,190,53,9.0
242,129,235,184,179,50,9.0
444,244,470,280,342,91,9.0
450,245,472,283,345,91,9.0
354,175,326,262,242,66,9.0
354,179,329,266,242,66,9.0
313,101,142,47,196,14,10.0
312,101,141,47,196,14,10.0
312,101,142,47,196,14,10.0
312,101,142,47,196,14,10.0
313,101,142,47,196,14,10.0
315,101,144,47,195,14,10.0
281,100,151,87,96,16,10.0
226,96,118,85,87,17,10.0
228,94,127,95,98,15,10.0
229,94,116,87,88,17,10.0
227,95,110,83,84,18,10.0
228,95,109,84,84,18,10.0
228,93,113,89,89,16,10.0
209,93,116,104,102,25,10.0
205,90,112,109,102,31,10.0
326,125,235,108,174,13,10.0
326,124,242,108,180,13,10.0
296,109,205,107,160,11,10.0
265,91,171,111,134,10,10.0
264,93,176,104,134,10,10.0
